name: r201-6, Alg: 5, number particle: 15
07-21 at 12:50:16, name: r101-5, Alg: 13, #particle: 35
07-21 at 13:46:40, name: r101-5, Alg: 14, #particle: 25
07-21 at 16:20:07, name: r101-5, Alg: 13, #particle: 20
07-21 at 17:49:00, name: r101-5, Alg: 14, #particle: 35
07-21 at 18:07:55, name: r101-20, Alg: 15, #particle: 25
07-21 at 18:48:01, name: r101-20, Alg: 15, #particle: 30
07-21 at 20:55:21, name: r101-5, Alg: 14, #particle: 20
07-21 at 23:42:23, name: r101-5, Alg: 16, #particle: 25
07-22 at 00:56:59, name: r101-20, Alg: 15, #particle: 20
07-22 at 01:32:40, name: rc102-5, Alg: 8, #particle: 15
07-22 at 02:12:00, name: rc102-5, Alg: 14, #particle: 15
07-22 at 02:32:20, name: r101-20, Alg: 15, #particle: 35
07-22 at 04:58:20, name: r103-5, Alg: 15, #particle: 15
07-22 at 07:49:46, name: r203-5, Alg: 14, #particle: 15
07-22 at 15:26:23, name: r201-6, Alg: 5, #particle: 10
07-22 at 15:28:29, name: rc102-5, Alg: 15, #particle: 15
07-22 at 15:31:10, name: r101-5, Alg: 5, #particle: 10
07-22 at 16:08:39, name: r201-6, Alg: 8, #particle: 10
07-22 at 17:12:24, name: r101-8, Alg: 8, #particle: 10
07-22 at 17:32:30, name: r201-5, Alg: 10, #particle: 10
07-22 at 18:05:52, name: r201-6, Alg: 8, #particle: 30
07-22 at 18:57:53, name: r201-6, Alg: 11, #particle: 10
07-22 at 19:15:33, name: r201-6, Alg: 5, #particle: 25
07-22 at 19:21:08, name: c105-5, Alg: 2, #particle: 15
07-22 at 19:43:15, name: r201-6, Alg: 13, #particle: 10
07-22 at 19:54:30, name: r101-5, Alg: 10, #particle: 10
07-22 at 20:06:57, name: r201-6, Alg: 5, #particle: 35
07-22 at 21:57:51, name: r201-6, Alg: 14, #particle: 10
07-22 at 22:09:03, name: r101-5, Alg: 11, #particle: 10
07-22 at 22:20:06, name: c105-2, Alg: 3, #particle: 15
07-22 at 22:45:48, name: r201-6, Alg: 8, #particle: 25
07-22 at 23:24:51, name: c105-1, Alg: 4, #particle: 15
07-22 at 23:51:02, name: r101-5, Alg: 13, #particle: 10
07-22 at 23:58:14, name: r201-16, Alg: 15, #particle: 10
07-23 at 00:35:08, name: r201-5, Alg: 10, #particle: 25
07-23 at 00:43:29, name: r201-6, Alg: 8, #particle: 35
07-23 at 00:50:39, name: r201-20, Alg: 16, #particle: 10
07-23 at 01:40:51, name: r201-5, Alg: 10, #particle: 30
07-23 at 01:43:38, name: r101-5, Alg: 14, #particle: 10
07-23 at 02:11:06, name: r203-5, Alg: 15, #particle: 15
07-23 at 03:34:18, name: r201-6, Alg: 11, #particle: 25
07-23 at 03:53:55, name: r101-20, Alg: 15, #particle: 10
07-23 at 05:19:58, name: r101-5, Alg: 16, #particle: 10
07-23 at 05:23:08, name: r201-5, Alg: 10, #particle: 35
07-23 at 05:43:15, name: r201-6, Alg: 11, #particle: 30
07-23 at 07:32:51, name: c105-5, Alg: 5, #particle: 15
07-23 at 07:44:38, name: r201-6, Alg: 13, #particle: 30
07-23 at 08:16:29, name: r201-6, Alg: 13, #particle: 25
07-23 at 08:25:16, name: c105-1, Alg: 6, #particle: 15
07-23 at 10:18:12, name: c105-2, Alg: 7, #particle: 15
07-23 at 10:37:14, name: r201-6, Alg: 14, #particle: 25
07-23 at 11:26:49, name: r201-6, Alg: 14, #particle: 30
07-23 at 11:50:40, name: r201-6, Alg: 11, #particle: 35
07-23 at 12:28:37, name: r202-5, Alg: 5, #particle: 10
07-23 at 12:51:02, name: r102-5, Alg: 5, #particle: 10
07-23 at 13:25:43, name: c105-2, Alg: 8, #particle: 15
07-23 at 13:52:07, name: r202-5, Alg: 8, #particle: 10
07-23 at 14:22:45, name: r102-5, Alg: 8, #particle: 10
07-23 at 14:57:41, name: r202-3, Alg: 10, #particle: 10
07-23 at 14:57:55, name: r201-16, Alg: 15, #particle: 25
07-23 at 16:06:17, name: r102-5, Alg: 10, #particle: 10
07-23 at 16:08:08, name: r202-3, Alg: 11, #particle: 10
07-23 at 16:57:49, name: r201-6, Alg: 5, #particle: 20
07-23 at 17:02:57, name: r201-16, Alg: 15, #particle: 30
07-23 at 17:11:47, name: r102-5, Alg: 11, #particle: 10
07-23 at 17:38:41, name: r202-5, Alg: 13, #particle: 10
07-23 at 18:20:27, name: r202-5, Alg: 14, #particle: 10
07-23 at 19:06:29, name: r201-6, Alg: 13, #particle: 35
07-23 at 19:10:31, name: r102-5, Alg: 13, #particle: 10
07-23 at 20:08:07, name: rc102-5, Alg: 16, #particle: 15
07-23 at 20:12:17, name: r201-20, Alg: 16, #particle: 25
07-23 at 20:16:49, name: r202-2, Alg: 15, #particle: 10
07-23 at 20:26:15, name: r102-5, Alg: 14, #particle: 10
07-23 at 21:21:55, name: r202-9, Alg: 16, #particle: 10
07-23 at 21:49:33, name: r102-5, Alg: 15, #particle: 10
07-23 at 22:09:31, name: r101-5, Alg: 5, #particle: 50
07-23 at 22:22:52, name: r201-20, Alg: 16, #particle: 30
07-23 at 22:56:02, name: r102-5, Alg: 16, #particle: 10
07-23 at 23:27:11, name: r101-8, Alg: 8, #particle: 50
07-23 at 23:47:50, name: c204-5, Alg: 5, #particle: 15
07-24 at 02:39:29, name: r201-6, Alg: 14, #particle: 35
07-24 at 04:18:30, name: r101-5, Alg: 5, #particle: 70
07-24 at 07:19:01, name: r203-5, Alg: 16, #particle: 15
07-24 at 07:46:07, name: r101-8, Alg: 8, #particle: 70
07-24 at 08:21:04, name: r201-16, Alg: 15, #particle: 35
07-24 at 09:43:00, name: r104-5, Alg: 5, #particle: 15
07-24 at 10:28:26, name: rc201-10, Alg: 5, #particle: 15
07-24 at 11:07:38, name: rc101-10, Alg: 5, #particle: 15
07-24 at 11:22:03, name: r203-5, Alg: 5, #particle: 15
07-24 at 11:46:52, name: r201-20, Alg: 16, #particle: 35
07-24 at 12:40:19, name: c205-5, Alg: 5, #particle: 15
07-24 at 16:34:08, name: r101-8, Alg: 8, #particle: 100
07-24 at 18:18:42, name: r101-5, Alg: 5, #particle: 100
07-24 at 18:59:51, name: r104-5, Alg: 8, #particle: 15
07-24 at 19:22:35, name: r204-5, Alg: 5, #particle: 15
07-24 at 20:02:31, name: c206-9, Alg: 5, #particle: 15
07-24 at 21:12:35, name: rc202-10, Alg: 5, #particle: 15
07-24 at 23:43:42, name: rc102-11, Alg: 5, #particle: 15
07-25 at 04:30:11, name: r102-5, Alg: 5, #particle: 35
07-25 at 05:50:18, name: r101-5, Alg: 11, #particle: 50
07-25 at 06:41:29, name: r101-5, Alg: 10, #particle: 50
07-25 at 07:19:35, name: c204-5, Alg: 8, #particle: 15
07-25 at 07:32:35, name: r101-5, Alg: 11, #particle: 50
07-25 at 08:15:10, name: r205-5, Alg: 5, #particle: 15
07-25 at 08:19:10, name: r202-5, Alg: 5, #particle: 30
07-25 at 10:21:00, name: r104-5, Alg: 10, #particle: 15
07-25 at 10:49:00, name: r102-5, Alg: 8, #particle: 35
07-25 at 10:56:58, name: r202-5, Alg: 8, #particle: 30
07-25 at 11:51:40, name: c205-5, Alg: 8, #particle: 15
07-25 at 14:34:11, name: rc103-10, Alg: 5, #particle: 15
07-25 at 16:58:39, name: c206-5, Alg: 8, #particle: 15
07-25 at 17:06:44, name: r112-1, Alg: 5, #particle: 15
07-25 at 18:01:07, name: rc208-1, Alg: 5, #particle: 15
07-25 at 18:14:39, name: r206-5, Alg: 5, #particle: 15
07-25 at 18:18:36, name: r101-5, Alg: 10, #particle: 70
07-25 at 18:51:45, name: r202-3, Alg: 10, #particle: 30
07-25 at 19:22:58, name: r111-1, Alg: 5, #particle: 15
07-25 at 20:22:35, name: rc207-1, Alg: 5, #particle: 15
07-25 at 21:07:16, name: r101-1, Alg: random16, #particle: 15
07-25 at 21:45:59, name: r110-1, Alg: 5, #particle: 15
07-25 at 22:02:56, name: r101-5, Alg: 11, #particle: 70
07-25 at 23:07:40, name: r102-5, Alg: 10, #particle: 35
07-25 at 23:26:37, name: r101-5, Alg: 11, #particle: 70
07-25 at 23:37:52, name: rc206-1, Alg: 5, #particle: 15
07-26 at 00:13:50, name: r101-2, Alg: random16, #particle: 15
07-26 at 00:35:37, name: r109-1, Alg: 5, #particle: 15
07-26 at 02:17:05, name: rc205-1, Alg: 5, #particle: 15
07-26 at 03:15:27, name: r104-5, Alg: 11, #particle: 15
07-26 at 03:33:40, name: r108-1, Alg: 5, #particle: 15
07-26 at 03:45:01, name: rc204-1, Alg: 5, #particle: 15
07-26 at 04:19:39, name: r202-3, Alg: 11, #particle: 30
07-26 at 05:32:28, name: r107-1, Alg: 5, #particle: 15
07-26 at 05:45:02, name: rc208-1, Alg: 8, #particle: 15
07-26 at 06:30:45, name: r102-5, Alg: 11, #particle: 35
07-26 at 07:07:41, name: r207-5, Alg: 5, #particle: 15
07-26 at 07:22:53, name: r202-5, Alg: 13, #particle: 30
07-26 at 07:29:51, name: c204-5, Alg: 10, #particle: 15
07-26 at 07:32:49, name: r106-1, Alg: 5, #particle: 15
07-26 at 07:43:31, name: rc207-1, Alg: 8, #particle: 15
07-26 at 08:42:37, name: rc206-1, Alg: 8, #particle: 15
07-26 at 10:00:55, name: r105-1, Alg: 5, #particle: 15
07-26 at 11:32:11, name: r112-1, Alg: 8, #particle: 15
07-26 at 11:40:07, name: r102-5, Alg: 13, #particle: 35
07-26 at 12:09:56, name: r202-5, Alg: 14, #particle: 30
07-26 at 12:38:18, name: rc205-1, Alg: 8, #particle: 15
07-26 at 13:53:25, name: rc104-5, Alg: 5, #particle: 15
07-26 at 14:14:56, name: r101-5, Alg: 10, #particle: 100
07-26 at 14:19:42, name: r111-1, Alg: 8, #particle: 15
07-26 at 16:15:57, name: r110-1, Alg: 8, #particle: 15
07-26 at 16:23:51, name: rc204-1, Alg: 8, #particle: 15
07-26 at 17:02:36, name: r208-5, Alg: 5, #particle: 15
07-26 at 17:09:40, name: r101-5, Alg: random16, #particle: 15
07-26 at 17:12:04, name: c205-5, Alg: 10, #particle: 15
07-26 at 17:36:20, name: r202-2, Alg: 15, #particle: 30
07-26 at 18:00:41, name: r101-5, Alg: 11, #particle: 100
07-26 at 18:42:52, name: r101-5, Alg: 11, #particle: 100
07-26 at 18:52:41, name: rc208-1, Alg: 10, #particle: 15
07-26 at 19:46:40, name: r104-5, Alg: 13, #particle: 15
07-26 at 19:47:03, name: r109-1, Alg: 8, #particle: 15
07-26 at 20:49:03, name: rc207-1, Alg: 10, #particle: 15
07-26 at 21:52:19, name: r108-1, Alg: 8, #particle: 15
07-26 at 21:56:02, name: r102-5, Alg: 14, #particle: 35
07-26 at 23:03:26, name: r103-7, Alg: 5, #particle: 15
07-26 at 23:07:18, name: rc206-1, Alg: 10, #particle: 15
07-26 at 23:19:57, name: r107-1, Alg: 8, #particle: 15
07-26 at 23:55:30, name: r202-9, Alg: 16, #particle: 30
07-27 at 01:14:27, name: r102-5, Alg: 15, #particle: 35
07-27 at 01:17:41, name: r206-5, Alg: 8, #particle: 15
07-27 at 01:41:46, name: rc205-1, Alg: 10, #particle: 15
07-27 at 03:14:54, name: rc105-5, Alg: 5, #particle: 15
07-27 at 03:23:42, name: r106-1, Alg: 8, #particle: 15
07-27 at 03:57:01, name: rc204-1, Alg: 10, #particle: 15
07-27 at 04:16:22, name: c206-10, Alg: 10, #particle: 15
07-27 at 05:29:06, name: rc208-1, Alg: 11, #particle: 15
07-27 at 05:39:32, name: r105-1, Alg: 8, #particle: 15
07-27 at 05:46:56, name: r209-5, Alg: 5, #particle: 15
07-27 at 05:57:02, name: r102-5, Alg: 16, #particle: 35
07-27 at 07:41:45, name: r103-5, Alg: 8, #particle: 15
07-27 at 07:46:09, name: rc207-1, Alg: 11, #particle: 15
07-27 at 08:01:22, name: r112-1, Alg: 10, #particle: 15
07-27 at 09:40:49, name: r207-5, Alg: 8, #particle: 15
07-27 at 10:18:41, name: rc206-1, Alg: 11, #particle: 15
07-27 at 10:48:30, name: r111-1, Alg: 10, #particle: 15
07-27 at 11:20:20, name: r104-5, Alg: 14, #particle: 15
07-27 at 13:08:59, name: rc205-1, Alg: 11, #particle: 15
07-27 at 13:20:40, name: r110-1, Alg: 10, #particle: 15
07-27 at 15:09:28, name: r210-5, Alg: 5, #particle: 15
07-27 at 15:24:34, name: r109-1, Alg: 10, #particle: 15
07-27 at 15:42:38, name: rc204-1, Alg: 11, #particle: 15
07-27 at 16:17:45, name: r208-5, Alg: 8, #particle: 15
07-27 at 17:29:35, name: r103-7, Alg: 5, #particle: 50
07-27 at 17:53:11, name: r103-7, Alg: 5, #particle: 35
07-27 at 18:03:17, name: r108-1, Alg: 10, #particle: 15
07-27 at 18:20:43, name: rc106-5, Alg: 5, #particle: 15
07-27 at 19:55:42, name: rc208-1, Alg: 13, #particle: 15
07-27 at 20:01:53, name: c204-5, Alg: 11, #particle: 15
07-27 at 20:37:35, name: r103-5, Alg: 10, #particle: 15
07-27 at 21:32:04, name: rc207-1, Alg: 13, #particle: 15
07-27 at 21:37:32, name: r107-1, Alg: 10, #particle: 15
07-27 at 23:58:39, name: c205-1, Alg: 11, #particle: 15
07-28 at 00:55:27, name: rc206-1, Alg: 13, #particle: 15
07-28 at 01:08:59, name: r106-1, Alg: 10, #particle: 15
07-28 at 01:32:22, name: r211-5, Alg: 5, #particle: 15
07-28 at 03:06:43, name: rc205-1, Alg: 13, #particle: 15
07-28 at 03:20:07, name: r103-10, Alg: random5, #particle: 15 seed: 5
07-28 at 04:32:31, name: rc204-1, Alg: 13, #particle: 15
07-28 at 04:58:07, name: r105-1, Alg: 10, #particle: 15
07-28 at 05:50:03, name: r103-7, Alg: 5, #particle: 35
07-28 at 06:26:31, name: r112-1, Alg: 11, #particle: 15
07-28 at 06:34:04, name: r103-5, Alg: 8, #particle: 50
07-28 at 06:37:39, name: r206-5, Alg: 10, #particle: 15
07-28 at 06:51:50, name: rc208-1, Alg: 14, #particle: 15
07-28 at 07:17:32, name: r103-5, Alg: 11, #particle: 15
07-28 at 08:45:12, name: rc107-5, Alg: 5, #particle: 15
07-28 at 08:45:16, name: r111-1, Alg: 11, #particle: 15
07-28 at 09:12:20, name: rc207-1, Alg: 14, #particle: 15
07-28 at 09:26:23, name: r104-5, Alg: 15, #particle: 15
07-28 at 11:17:29, name: r203-5, Alg: 8, #particle: 15
07-28 at 11:50:46, name: r110-1, Alg: 11, #particle: 15
07-28 at 12:00:46, name: rc206-1, Alg: 14, #particle: 15
07-28 at 12:13:56, name: r103-7, Alg: 5, #particle: 35
07-28 at 12:53:39, name: c206-10, Alg: 11, #particle: 15
07-28 at 06:55:09, name: r103-5, Alg: random5, #particle: 15 seed: 1
07-28 at 14:05:53, name: r109-1, Alg: 11, #particle: 15
07-28 at 16:02:19, name: r103-6, Alg: 13, #particle: 15
07-28 at 16:11:34, name: r103-5, Alg: 10, #particle: 50
07-28 at 16:18:52, name: r108-1, Alg: 11, #particle: 15
07-28 at 17:01:42, name: rc205-1, Alg: 14, #particle: 15
07-28 at 17:27:35, name: r207-5, Alg: 10, #particle: 15
07-28 at 18:06:09, name: rc204-1, Alg: 14, #particle: 15
07-28 at 19:16:10, name: r107-1, Alg: 11, #particle: 15
07-28 at 19:51:44, name: r204-5, Alg: 8, #particle: 15
07-28 at 20:25:35, name: r103-7, Alg: 5, #particle: 35
07-28 at 20:26:29, name: rc108-5, Alg: 5, #particle: 15
07-28 at 21:16:54, name: rc208-1, Alg: 15, #particle: 15
07-28 at 21:31:33, name: r106-1, Alg: 11, #particle: 15
07-28 at 22:00:35, name: r104-5, Alg: 16, #particle: 15
07-28 at 22:40:50, name: r103-5, Alg: 11, #particle: 50
07-28 at 23:05:03, name: c204-5, Alg: 13, #particle: 15
07-28 at 23:34:04, name: rc207-1, Alg: 15, #particle: 15
07-29 at 00:23:22, name: r103-7, Alg: 5, #particle: 35
07-29 at 00:23:53, name: r105-1, Alg: 11, #particle: 15
07-29 at 00:33:43, name: c205-1, Alg: 13, #particle: 15
07-29 at 02:01:03, name: r103-6, Alg: 14, #particle: 15
07-29 at 03:01:05, name: r112-1, Alg: 13, #particle: 15
07-29 at 03:21:51, name: rc206-1, Alg: 15, #particle: 15
07-29 at 03:52:02, name: r208-5, Alg: 10, #particle: 15
07-29 at 05:16:50, name: r103-7, Alg: 5, #particle: 35
07-29 at 05:33:39, name: rc205-1, Alg: 15, #particle: 15
07-29 at 05:46:37, name: r111-1, Alg: 13, #particle: 15
07-29 at 06:02:48, name: c206-10, Alg: 13, #particle: 15
07-29 at 06:23:25, name: r205-5, Alg: 8, #particle: 15
07-29 at 06:38:59, name: r103-6, Alg: 13, #particle: 50
07-29 at 07:04:34, name: rc101-10, Alg: 8, #particle: 15
07-29 at 07:29:40, name: r110-1, Alg: 13, #particle: 15
07-29 at 07:35:03, name: rc204-1, Alg: 15, #particle: 15
07-29 at 09:25:38, name: r109-1, Alg: 13, #particle: 15
07-29 at 09:43:37, name: rc208-1, Alg: 16, #particle: 15
07-29 at 10:13:26, name: R1_2_1-0, Alg: random5, #particle: 15 seed: 1
07-29 at 11:17:53, name: rc207-1, Alg: 16, #particle: 15
07-29 at 11:47:05, name: r103-10, Alg: 15, #particle: 15
07-29 at 13:25:07, name: rc206-1, Alg: 16, #particle: 15
07-29 at 13:29:13, name: r103-6, Alg: 14, #particle: 50
07-29 at 14:00:52, name: r108-1, Alg: 13, #particle: 15
07-29 at 14:55:05, name: r103-5, Alg: 8, #particle: 35
07-29 at 15:55:12, name: r107-1, Alg: 13, #particle: 15
07-29 at 16:54:56, name: rc205-1, Alg: 16, #particle: 15
07-29 at 17:41:07, name: r206-10, Alg: 8, #particle: 15
07-29 at 17:49:17, name: r106-1, Alg: 13, #particle: 15
07-29 at 18:22:56, name: c204-5, Alg: 14, #particle: 15
07-29 at 18:28:52, name: rc204-1, Alg: 16, #particle: 15
07-29 at 18:51:10, name: rc102-10, Alg: 8, #particle: 15
07-30 at 04:49:02, name: R1_2_1-0, Alg: random16, #particle: 15 seed: 1
07-30 at 04:56:39, name: r103-0, Alg: random14, #particle: 15 seed: 5
07-30 at 05:27:54, name: R1_2_1-0, Alg: random16, #particle: 15 seed: 1
07-30 at 05:43:24, name: r103-0, Alg: random16, #particle: 15 seed: 5
07-30 at 05:46:01, name: r103-0, Alg: random11, #particle: 15 seed: 5
07-30 at 05:51:48, name: r103-0, Alg: random15, #particle: 15 seed: 5
07-30 at 06:11:44, name: r103-2, Alg: random10, #particle: 15 seed: 5
07-30 at 06:37:11, name: r103-0, Alg: random13, #particle: 15 seed: 5
07-30 at 20:16:38, name: R1_2_1-0, Alg: random16, #particle: 15 seed: 1
07-30 at 20:22:29, name: r103-0, Alg: random16, #particle: 15 seed: 5
07-30 at 20:30:17, name: R1_2_1-0, Alg: random16, #particle: 15 seed: 1
07-30 at 20:48:44, name: r103-0, Alg: random11, #particle: 15 seed: 5
07-30 at 21:06:12, name: r103-0, Alg: random14, #particle: 15 seed: 5
07-30 at 21:35:44, name: r103-0, Alg: random13, #particle: 15 seed: 5
07-30 at 21:55:04, name: r103-0, Alg: random15, #particle: 15 seed: 5
07-30 at 23:19:46, name: r103-2, Alg: random10, #particle: 15 seed: 5
08-01 at 04:20:57, name: r208-0, Alg: random10, #particle: 15 seed: 1
08-01 at 04:50:32, name: r208-0, Alg: random8, #particle: 15 seed: 2
08-01 at 06:03:22, name: R1_2_1-0, Alg: random16, #particle: 15 seed: 1
08-01 at 06:27:25, name: r208-0, Alg: random5, #particle: 15 seed: 2
08-01 at 07:17:44, name: R1_2_1-0, Alg: random16, #particle: 15 seed: 1
08-01 at 07:18:07, name: r208-0, Alg: random5, #particle: 15 seed: 1
08-01 at 08:11:03, name: r103-2, Alg: random10, #particle: 15 seed: 5
08-01 at 08:48:11, name: r208-0, Alg: random8, #particle: 15 seed: 1
08-01 at 09:27:15, name: r208-0, Alg: random5, #particle: 15 seed: 3
08-01 at 13:18:45, name: r208-0, Alg: random15, #particle: 15 seed: 1
08-01 at 16:45:35, name: r208-0, Alg: random14, #particle: 15 seed: 1
08-01 at 17:14:25, name: r208-0, Alg: random8, #particle: 15 seed: 3
08-01 at 17:55:19, name: r208-0, Alg: random13, #particle: 15 seed: 2
08-01 at 17:56:24, name: r208-0, Alg: random14, #particle: 15 seed: 1
08-01 at 19:32:38, name: r208-0, Alg: random13, #particle: 15 seed: 1
08-01 at 19:51:38, name: r103-0, Alg: random13, #particle: 15 seed: 5
08-01 at 20:12:52, name: r208-0, Alg: random16, #particle: 15 seed: 1
08-01 at 20:43:37, name: R1_2_1-0, Alg: random15, #particle: 15 seed: 1
08-01 at 21:33:03, name: R1_2_1-0, Alg: random15, #particle: 15 seed: 1
08-01 at 21:47:21, name: r208-5, Alg: 5, #particle: 15, seed: 1
08-01 at 22:54:31, name: r204-0, Alg: random11, #particle: 15 seed: 1
08-01 at 23:45:45, name: r204-0, Alg: random8, #particle: 15 seed: 1
08-02 at 00:24:14, name: r208-0, Alg: random14, #particle: 15 seed: 2
08-02 at 00:44:48, name: r208-0, Alg: random16, #particle: 15 seed: 2
08-02 at 01:53:33, name: r208-0, Alg: random11, #particle: 15 seed: 1
08-02 at 02:41:41, name: r204-0, Alg: random5, #particle: 15 seed: 1
08-02 at 05:13:57, name: R1_2_1-0, Alg: random14, #particle: 15 seed: 1
08-02 at 05:47:11, name: r208-0, Alg: random10, #particle: 15 seed: 1
08-03 at 11:16:57, name: r110-0, Alg: case16, #particle: 20 seed: 1
08-03 at 11:21:41, name: r110-0, Alg: case16, #particle: 20 seed: 1
08-03 at 12:23:20, name: r209-0, Alg: 16, #particle: 20, seed: 1
08-03 at 13:51:00, name: r204-0, Alg: 16, #particle: 20, seed: 1
08-03 at 14:06:20, name: rc107-0, Alg: 16, #particle: 20, seed: 1
08-03 at 14:11:27, name: r110-0, Alg: 16, #particle: 20, seed: 1
08-03 at 15:40:19, name: r204-0, Alg: 16, #particle: 25, seed: 1
08-03 at 16:28:36, name: rc107-0, Alg: 16, #particle: 25, seed: 1
08-03 at 16:33:39, name: r110-0, Alg: 16, #particle: 25, seed: 1
08-03 at 17:34:08, name: r209-0, Alg: 16, #particle: 25, seed: 1
08-04 at 12:10:19, name: r211-1, Alg: random16, #particle: 20 seed: 1
08-04 at 12:22:51, name: r211-1, Alg: 16, #particle: 20, seed: 1
08-04 at 14:39:55, name: r211-1, Alg: random16, #particle: 25 seed: 1
08-04 at 15:20:22, name: r211-1, Alg: 16, #particle: 25, seed: 1
08-04 at 16:18:43, name: r211-1, Alg: random16, #particle: 30 seed: 1
08-04 at 16:51:15, name: r211-1, Alg: 16, #particle: 30, seed: 1
08-04 at 18:14:47, name: r211-1, Alg: random16, #particle: 35 seed: 1
08-04 at 19:29:45, name: r211-1, Alg: 16, #particle: 35, seed: 1
08-04 at 21:36:59, name: r208-1, Alg: random14, #particle: 20 seed: 1
08-04 at 21:41:09, name: r207-1, Alg: 16, #particle: 20, seed: 1
08-04 at 21:52:21, name: r207-1, Alg: random16, #particle: 20 seed: 1
08-04 at 22:16:02, name: r208-1, Alg: random15, #particle: 20 seed: 1
08-04 at 23:26:28, name: r207-1, Alg: 16, #particle: 25, seed: 1
08-04 at 23:30:22, name: r207-1, Alg: random16, #particle: 25 seed: 1
08-05 at 00:59:44, name: r207-1, Alg: random16, #particle: 30 seed: 1
08-05 at 01:03:45, name: r208-1, Alg: random14, #particle: 25 seed: 1
08-05 at 01:36:22, name: r208-1, Alg: random15, #particle: 25 seed: 1
